Type,Variable,Description
Predictor,zn,"Proportion of residential land zoned for large lots (over 25000 square feet)"
Predictor,indus,"Proportion of non-retail business acres per suburb."
Predictor,chas,"Dummy var. for whether the suburb borders the Charles River (1) or not (0)."
Predictor,nox,"Nitrogen oxides concentration (parts per 10 million)."
Predictor,rm,"Average number of rooms per dwelling."
Predictor,age,"Proportion of owner-occupied units built prior to 1940."
Predictor,dis,"Weighted mean of distances to five Boston employment centers."
Predictor,rad,"Index of accessibility to radial highways."
Predictor,tax,"Full-value property-tax rate per $10,000."
Predictor,ptratio,"Pupil-teacher ratio by town."
Predictor,black,"1000(B k - 0.63) 2 where B k is the proportion of blacks by town."
Predictor,lstat,"Lower status of the population (percent)."
Predictor,medv,"Median value of owner-occupied homes in $1000s."
Response,target,"Whether the crime rate is above the median crime rate (1) or not (0)"
